[error] [2022-09-03 15:50:56,673] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,673] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,673] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,674] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,674] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,674] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,675] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,675] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,675] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,675] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,676] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,676] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,676] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,677] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,677] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,677] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,678] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,678] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,678] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,678] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,679] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,680] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,680] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,680] [Process:23810] - invalid input
[error] [2022-09-03 15:50:56,681] [Process:23810] - invalid input
